name,phrase,numberOfWords
POE,You completed my mission Finn That's my jacket,8
FINN,Oh here,2
POE,No no no Keep it It suits you You're a good man Finn,13
FINN,Poe I need your help,5
POE,General Organa Sorry to interrupt this is Finn he needs to talk to,13
LEIA,And I need to talk to him That was incredibly brave what you did Renouncing the First Order saving this man's life,22
FINN,Thank you ma'am but a friend of mine was taken prisoner,11
LEIA,Han told me about the girl I'm sorry,8
POE,Finn's familiar with the weapon that destroyed the Hosnian system He worked on the base,15
LEIA,We're desperate for anything you can tell us,8
FINN,That's where my friend was taken I've got to get there fast,12
LEIA,And I will do everything I can to help but first you must tell us all you know,18
C-3PO,General I regret to inform you but this map recovered from BB-8 is only partially complete And even worse it matches no charted system on record We simply do not have enough information to locate Master Luke,37
LEIA,I can't believe I was so foolish to think that I could just find Luke and bring him home,19
HAN,Leia,1
LEIA,Don't do that,3
HAN,Do what She heads off,5
LEIA,Anything Flummoxed Han follows looking at C-3PO,7
C-3PO,Princesses,1
HAN,I'm trying to be helpful,5
LEIA,When did that ever help And don't say the Death Star,11
C-3PO,BB-8 You're wasting your time,5
C-3PO,It is very doubtful that R2 would have the rest of the map in his backup data,17
HAN,Listen to me will you I know every time you every time you look at me you're reminded of him,20
LEIA,You think I want to forget him I want him back,11
HAN,There was nothing we could've done There was too much Vader in him,13
LEIA,That's why I wanted him to train with Luke I just never should have sent him away That's when I lost him That's when I lost you both,28
HAN,We both had to deal with it in our own way I went back to the only thing I was ever good at,23
LEIA,We both did,3
HAN,We lost our son forever,5
LEIA,No,1
LEIA,He seduced our son to the dark side But we can still save him Me You,16
HAN,If Luke couldn't reach him how could,7
LEIA,Luke is a Jedi you're his father There's still light in him I know it,15
REY,Where am I,3
KYLO REN,You're my guest,3
REY,Where are the others,4
KYLO REN,You mean the murderers traitors and thieves you call friends You'll be relieved to hear that I have no idea,20
KYLO REN,You still want to kill me,6
REY,That happens when you're being hunted by a creature in a mask,12
KYLO REN,Tell me about the droid,5
REY,He's a BB unit with a selenium drive and a thermal hyperscan vindicator,13
KYLO REN,He's carrying a section of a navigational chart We have the rest recovered from archives of the Empire We need the last piece And somehow you convinced the droid to show it to you You A scavenger,37
