name,phrase,numberOfWords
TARKIN,Not after we demonstrate the power of this station In a way you have determined the choice of the planet that'll be destroyed first Since you are reluctant to provide us with the location of the Rebel base I have chosen to test this station's destructive power on your home planet of Alderaan,53
LEIA,No Alderaan is peaceful We have no weapons You can't possibly,11
TARKIN,You would prefer another target A military target Then name the system,12
TARKIN,I grow tired of asking this So it'll be the last time Where is the Rebel base,17
LEIA,Dantooine,1
LEIA,They're on Dantooine,3
TARKIN,There You see Lord Vader she can be reasonableContinue with the operation You may fire when ready,17
LEIA,What,1
TARKIN,You're far too trusting Dantooine is too remote to make an effective demonstration But don't worry We will deal with your Rebel friends soon enough,25
LEIA,No,1
VADER,Commence primary ignition,3
LUKE,Are you all right What's wrong,6
BEN,I felt a great disturbance in the Force as if millions of voices suddenly cried out in terror and were suddenly silenced I fear something terrible has happened,28
BEN,You'd better get on with your exercises,7
HAN,Well you can forget your troubles with those Imperial slugs I told you I'd outrun 'em,16
HAN,Don't everyone thank me at once,6
